CLIENT - 2020-10-11 19:59:29,976 - ENVIADO | TIPO: 1 | TAMANHO: 24
CLIENT - 2020-10-11 19:59:31,396 - RECEBIDO | TIPO: 2 | TAMANHO: 24
CLIENT - 2020-10-11 19:59:31,396 - RECEBIDO | TIPO: 2 | TAMANHO: 24
CLIENT - 2020-10-11 19:59:31,396 - COMEÇANDO A ENVIAR A IMAGEM
CLIENT - 2020-10-11 19:59:31,791 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 1/17
CLIENT - 2020-10-11 19:59:32,206 - RECEBIDO | TIPO: 4 | TAMANHO: 24 | CRC: b'\xdb\xe7' | ULTIMO PACOTE RECEBIDO PELO SERVIDOR: 1
CLIENT - 2020-10-11 19:59:32,561 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 2/17
CLIENT - 2020-10-11 19:59:32,965 - RECEBIDO | TIPO: 4 | TAMANHO: 24 | CRC: b'\xdb\xe7' | ULTIMO PACOTE RECEBIDO PELO SERVIDOR: 2
CLIENT - 2020-10-11 19:59:33,323 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 3/17
CLIENT - 2020-10-11 19:59:33,732 - RECEBIDO | TIPO: 4 | TAMANHO: 24 | CRC: b'\xdb\xe7' | ULTIMO PACOTE RECEBIDO PELO SERVIDOR: 3
CLIENT - 2020-10-11 19:59:34,096 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 4/17
CLIENT - 2020-10-11 19:59:34,392 - RECEBIDO | TIPO: 4 | TAMANHO: 24 | CRC: b'\xdb\xe7' | ULTIMO PACOTE RECEBIDO PELO SERVIDOR: 4
CLIENT - 2020-10-11 19:59:34,742 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 5/17
CLIENT - 2020-10-11 19:59:35,020 - RECEBIDO | TIPO: 4 | TAMANHO: 24 | CRC: b'\xdb\xe7' | ULTIMO PACOTE RECEBIDO PELO SERVIDOR: 5
CLIENT - 2020-10-11 19:59:35,371 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 6/17
CLIENT - 2020-10-11 19:59:35,844 - RECEBIDO | TIPO: 4 | TAMANHO: 24 | CRC: b'\xdb\xe7' | ULTIMO PACOTE RECEBIDO PELO SERVIDOR: 6
CLIENT - 2020-10-11 19:59:36,201 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 7/17
CLIENT - 2020-10-11 19:59:36,609 - RECEBIDO | TIPO: 4 | TAMANHO: 24 | CRC: b'\xdb\xe7' | ULTIMO PACOTE RECEBIDO PELO SERVIDOR: 7
CLIENT - 2020-10-11 19:59:36,975 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 8/17
CLIENT - 2020-10-11 19:59:37,460 - RECEBIDO | TIPO: 4 | TAMANHO: 24 | CRC: b'\xdb\xe7' | ULTIMO PACOTE RECEBIDO PELO SERVIDOR: 8
CLIENT - 2020-10-11 19:59:37,826 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 9/17
CLIENT - 2020-10-11 19:59:38,226 - RECEBIDO | TIPO: 4 | TAMANHO: 24 | CRC: b'\xdb\xe7' | ULTIMO PACOTE RECEBIDO PELO SERVIDOR: 9
CLIENT - 2020-10-11 19:59:38,593 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 10/17
CLIENT - 2020-10-11 19:59:38,954 - RECEBIDO | TIPO: 4 | TAMANHO: 24 | CRC: b'\xdb\xe7' | ULTIMO PACOTE RECEBIDO PELO SERVIDOR: 10
CLIENT - 2020-10-11 19:59:39,307 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 11/17
CLIENT - 2020-10-11 19:59:39,747 - RECEBIDO | TIPO: 4 | TAMANHO: 24 | CRC: b'\xdb\xe7' | ULTIMO PACOTE RECEBIDO PELO SERVIDOR: 11
CLIENT - 2020-10-11 19:59:40,107 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 12/17
CLIENT - 2020-10-11 19:59:40,529 - RECEBIDO | TIPO: 4 | TAMANHO: 24 | CRC: b'\xdb\xe7' | ULTIMO PACOTE RECEBIDO PELO SERVIDOR: 12
CLIENT - 2020-10-11 19:59:40,891 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 13/17
CLIENT - 2020-10-11 19:59:41,251 - RECEBIDO | TIPO: 4 | TAMANHO: 24 | CRC: b'\xdb\xe7' | ULTIMO PACOTE RECEBIDO PELO SERVIDOR: 13
CLIENT - 2020-10-11 19:59:41,600 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 14/17
CLIENT - 2020-10-11 19:59:41,900 - RECEBIDO | TIPO: 4 | TAMANHO: 24 | CRC: b'\xdb\xe7' | ULTIMO PACOTE RECEBIDO PELO SERVIDOR: 14
CLIENT - 2020-10-11 19:59:42,248 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 15/17
CLIENT - 2020-10-11 19:59:42,676 - RECEBIDO | TIPO: 4 | TAMANHO: 24 | CRC: b'\xdb\xe7' | ULTIMO PACOTE RECEBIDO PELO SERVIDOR: 15
