SERVER - 2020-10-11 20:10:35,298 - SERVIDOR OCIOSO
SERVER - 2020-10-11 20:10:37,781 - RECEBIDO | TIPO: 1 | TAMANHO: 24
SERVER - 2020-10-11 20:10:39,167 - ENVIADO | TIPO: 2 | TAMANHO: 24
SERVER - 2020-10-11 20:10:39,580 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'\x95\x11' | PACOTES RECEBIDOS: 1/17
SERVER - 2020-10-11 20:10:39,978 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 20:10:40,352 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'\xc1c' | PACOTES RECEBIDOS: 2/17
SERVER - 2020-10-11 20:10:40,748 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 20:10:41,131 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'\xa1\xa1' | PACOTES RECEBIDOS: 3/17
SERVER - 2020-10-11 20:10:41,523 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 20:10:41,950 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'J\xc4' | PACOTES RECEBIDOS: 4/17
SERVER - 2020-10-11 20:10:42,350 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 20:10:42,724 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'\x01B' | PACOTES RECEBIDOS: 5/17
SERVER - 2020-10-11 20:10:43,119 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 20:10:43,468 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'\x1c\x10' | PACOTES RECEBIDOS: 6/17
SERVER - 2020-10-11 20:10:43,876 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 20:10:44,296 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'\x12\r' | PACOTES RECEBIDOS: 7/17
SERVER - 2020-10-11 20:10:44,694 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 20:10:45,046 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'&\x98' | PACOTES RECEBIDOS: 8/17
SERVER - 2020-10-11 20:10:45,443 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 20:10:45,810 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'\xd5R' | PACOTES RECEBIDOS: 9/17
SERVER - 2020-10-11 20:10:46,195 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 20:10:46,613 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'\x14m' | PACOTES RECEBIDOS: 10/17
SERVER - 2020-10-11 20:10:47,009 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 20:10:47,389 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'\x1c\x10' | PACOTES RECEBIDOS: 11/17
SERVER - 2020-10-11 20:10:47,775 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 20:10:48,153 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'\x12\r' | PACOTES RECEBIDOS: 12/17
SERVER - 2020-10-11 20:10:48,554 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 20:10:48,919 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'&\x98' | PACOTES RECEBIDOS: 13/17
SERVER - 2020-10-11 20:10:49,320 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 20:10:49,751 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'\xd5R' | PACOTES RECEBIDOS: 14/17
SERVER - 2020-10-11 20:10:50,138 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 20:10:50,395 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'\x14m' | PACOTES RECEBIDOS: 15/17
SERVER - 2020-10-11 20:10:50,782 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 20:10:51,153 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'\x1c\x10' | PACOTES RECEBIDOS: 16/17
SERVER - 2020-10-11 20:10:51,550 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 20:10:51,965 - RECEBIDO | TIPO: 3 | TAMANHO: 101 | CRC: b'\xc3&' | PACOTES RECEBIDOS: 17/17
SERVER - 2020-10-11 20:10:52,392 - ENVIADO | TIPO: 4 | TAMANHO: 24
